,date,title,author,publisher,description
0,3/19/2023,STORM WATCH, C.J. Box,Putnam,The 23rd book in the Joe Pickett series. Joe and Nate might be on opposite sides for the first time.
1,3/19/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
2,3/19/2023,A DAY OF FALLEN NIGHT, Samantha Shannon,Bloomsbury,"A prequel to “The Priory of the Orange Tree.” When the Dreadmount erupts, several women must protect humankind."
3,3/19/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
4,3/19/2023,I HAVE SOME QUESTIONS FOR YOU, Rebecca Makkai,Viking,A film professor and podcaster is invited back to teach a course at the boarding school where her roommate was murdered.
5,3/19/2023,SOMEONE ELSE'S SHOES, Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
6,3/19/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
7,3/19/2023,THE ADVENTURES OF AMINA AL-SIRAFI, Shannon Chakraborty,Harper Voyager,A former pirate on the Indian Ocean is asked to retrieve her comrade’s kidnapped daughter.
8,3/19/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
9,3/19/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
10,3/19/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
11,3/19/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
12,3/19/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
13,3/19/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
14,3/19/2023,MURDER YOUR EMPLOYER, Rupert Holmes,Avid Reader,"At the McMasters Conservatory for the Applied Arts, students learn how to “delete” someone."
15,3/12/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
16,3/12/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
17,3/12/2023,I HAVE SOME QUESTIONS FOR YOU, Rebecca Makkai,Viking,A film professor and podcaster is invited back to teach a course at the boarding school where her roommate was murdered.
18,3/12/2023,SOMEONE ELSE'S SHOES, Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
19,3/12/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
20,3/12/2023,MURDER YOUR EMPLOYER, Rupert Holmes,Avid Reader,"At the McMasters Conservatory for the Applied Arts, students learn how to “delete” someone."
21,3/12/2023,BURNER, Mark Greaney,Berkley,"The 12th book in the Gray Man series. Stolen records, the Russian mafia and the C.I.A. complicate things for Court Gentry and his lover."
22,3/12/2023,THE LAST KINGDOM, Steve Berry,Grand Central,The 17th book in the Cotton Malone series. Malone and Daniels battle adversaries in Bavaria.
23,3/12/2023,THE WRITING RETREAT, Julia Bartz,Atria/Emily Bestler,An aspiring writer goes on a writing retreat that might have life-changing or life-ending outcomes.
24,3/12/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
25,3/12/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
26,3/12/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
27,3/12/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
28,3/12/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
29,3/12/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
30,3/5/2023,LESSONS IN CHEMISTRY, Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
31,3/5/2023,"TOMORROW, AND TOMORROW, AND TOMORROW", Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
32,3/5/2023,SOMEONE ELSE'S SHOES, Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
33,3/5/2023,DEMON COPPERHEAD, Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
34,3/5/2023,THE BOYS FROM BILOXI, John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
35,3/5/2023,THE HOUSE IN THE PINES, Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
36,3/5/2023,ENCORE IN DEATH, J.D. Robb,St. Martin's,The 56th book of the In Death series. Eve Dallas investigates the mysterious death of a well-loved star of stage and screen.
37,3/5/2023,FAIRY TALE, Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
38,3/5/2023,MAD HONEY, Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
39,3/5/2023,THE MIDNIGHT LIBRARY, Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
40,3/5/2023,THE HOUSE OF WOLVES, James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California."
41,3/5/2023,REMARKABLY BRIGHT CREATURES, Shel Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
42,3/5/2023,THE HOUSE OF EVE, Sadeqa Johnson,Simon &amp; Schuster,"Complications involving love, family and higher education impact the lives of two women living in the 1950s."
